line_id,seq,x,y,z,r,g,b,basin_id
1,0,-256,-150,-7.40708,0.3025,0.446939,0.7975,1
1,1,-256,-149.5,-7.40436,0.3025,0.446939,0.7975,1
2,0,-256,-150,-7.40708,0.3025,0.446939,0.7975,1
2,1,-255.5,-150,-7.33541,0.3025,0.446939,0.7975,1
3,0,-256,-149.5,-7.40436,0.591378,0.7975,0.3025,2
3,1,-255.5,-149.5,-7.33344,0.591378,0.7975,0.3025,2
4,0,-256,-20.5,5.6437,0.591378,0.7975,0.3025,2
4,1,-256,-20,5.66304,0.591378,0.7975,0.3025,2
5,0,-256,-20.5,5.6437,0.591378,0.7975,0.3025,2
5,1,-255.5,-20.5,5.61276,0.591378,0.7975,0.3025,2
6,0,-256,-20,5.66304,0.591378,0.7975,0.3025,2
6,1,-256,-19.5,5.678,0.591378,0.7975,0.3025,2
7,0,-256,-20,5.66304,0.591378,0.7975,0.3025,2
7,1,-255.5,-20,5.62889,0.591378,0.7975,0.3025,2
8,0,-256,-19.5,5.678,0.3025,0.344645,0.7975,14
8,1,-255.5,-19.5,5.64047,0.3025,0.344645,0.7975,14
9,0,-256,3,6.08918,0.3025,0.344645,0.7975,14
9,1,-256,3.5,6.04641,0.3025,0.344645,0.7975,14
10,0,-256,3,6.08918,0.3025,0.344645,0.7975,14
10,1,-255.5,3,5.97391,0.3025,0.344645,0.7975,14
11,0,-256,3.5,6.04641,0.7975,0.570305,0.3025,5
11,1,-255.5,3.5,5.933,0.7975,0.570305,0.3025,5
12,0,-256,21.5,5.61024,0.7975,0.570305,0.3025,5
12,1,-256,22,5.60554,0.7975,0.570305,0.3025,5
13,0,-256,21.5,5.61024,0.7975,0.570305,0.3025,5
13,1,-255.5,21.5,5.60048,0.7975,0.570305,0.3025,5
14,0,-256,22,5.60554,0.7975,0.3025,0.735817,3
14,1,-255.5,22,5.59907,0.7975,0.3025,0.735817,3
15,0,-256,63,1.37942,0.7975,0.3025,0.735817,3
15,1,-256,63.5,1.33756,0.7975,0.3025,0.735817,3
16,0,-256,63,1.37942,0.7975,0.3025,0.735817,3
